antecedents,consequents,support,confidence,lift
frozenset({'detergente'}),"frozenset({'agua mineral', 'vinho'})",0.14285714285714285,1.0,7.0
"frozenset({'agua mineral', 'vinho'})",frozenset({'detergente'}),0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'vinho'})",frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'agua mineral'})",frozenset({'vinho'}),0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),"frozenset({'molho de tomate', 'detergente'})",0.14285714285714285,1.0,7.0
frozenset({'detergente'}),"frozenset({'molho de tomate', 'agua mineral'})",0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),"frozenset({'detergente', 'agua mineral'})",0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'agua mineral'})",frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
frozenset({'acucar'}),frozenset({'agua mineral'}),0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),frozenset({'acucar'}),0.14285714285714285,1.0,7.0
frozenset({'vinho'}),"frozenset({'molho de tomate', 'detergente', 'agua mineral'})",0.14285714285714285,1.0,7.0
frozenset({'agua mineral'}),"frozenset({'molho de tomate', 'detergente', 'vinho'})",0.14285714285714285,1.0,7.0
frozenset({'detergente'}),"frozenset({'molho de tomate', 'agua mineral', 'vinho'})",0.14285714285714285,1.0,7.0
frozenset({'molho de tomate'}),"frozenset({'detergente', 'agua mineral', 'vinho'})",0.14285714285714285,1.0,7.0
"frozenset({'agua mineral', 'vinho'})","frozenset({'molho de tomate', 'detergente'})",0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'vinho'})","frozenset({'molho de tomate', 'agua mineral'})",0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'agua mineral'})","frozenset({'molho de tomate', 'vinho'})",0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'vinho'})","frozenset({'detergente', 'agua mineral'})",0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'agua mineral'})","frozenset({'detergente', 'vinho'})",0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'detergente'})","frozenset({'agua mineral', 'vinho'})",0.14285714285714285,1.0,7.0
"frozenset({'detergente', 'agua mineral', 'vinho'})",frozenset({'molho de tomate'}),0.14285714285714285,1.0,7.0
"frozenset({'molho de tomate', 'agua mineral', 'vinho'})",frozenset({'detergente'}),0.14285714285714285,1.0,7.0
